epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,12.9965,0.29288,0.98026,1,0.06545,0.000524796,0.000524796,0.000524796
2,16.733,0.0429,0.99342,1,0.01304,0.00106977,0.00106977,0.00106977
3,20.8969,0.02133,0.98355,1,0.07811,0.00160373,0.00160373,0.00160373
4,24.9662,0.03031,0.98355,1,0.03179,0.00161749,0.00161749,0.00161749
5,29.1763,0.03244,0.99342,1,0.01473,0.00160099,0.00160099,0.00160099
6,32.8774,0.02573,0.99342,1,0.00936,0.00158448,0.00158448,0.00158448
7,36.866,0.03148,0.99013,1,0.02018,0.00156798,0.00156798,0.00156798
8,43.4617,0.04779,0.98026,1,0.06094,0.00155148,0.00155148,0.00155148
9,47.3144,0.01937,1,1,0.00479,0.00153497,0.00153497,0.00153497
10,53.0264,0.03228,1,1,0.00578,0.00151847,0.00151847,0.00151847
11,57.0749,0.01339,1,1,0.00627,0.00150197,0.00150197,0.00150197
12,61.1863,0.01191,1,1,0.00554,0.00148546,0.00148546,0.00148546
13,65.8144,0.00892,0.99671,1,0.00997,0.00146896,0.00146896,0.00146896
14,71.4064,0.00387,0.99671,1,0.00894,0.00145246,0.00145246,0.00145246
15,75.4488,0.0116,1,1,0.00397,0.00143595,0.00143595,0.00143595
16,79.9621,0.01503,0.99671,1,0.00554,0.00141945,0.00141945,0.00141945
17,84.4232,0.03907,0.97697,1,0.05549,0.00140295,0.00140295,0.00140295
18,89.8152,0.07891,0.98026,1,0.0427,0.00138644,0.00138644,0.00138644
19,94.0531,0.05576,0.99342,1,0.0088,0.00136994,0.00136994,0.00136994
20,98.4888,0.02387,0.99342,1,0.01899,0.00135344,0.00135344,0.00135344
21,102.688,0.02213,1,1,0.01116,0.00133693,0.00133693,0.00133693
22,108.803,0.01262,1,1,0.00571,0.00132043,0.00132043,0.00132043
23,113.078,0.00985,0.99013,1,0.00943,0.00130393,0.00130393,0.00130393
24,117.325,0.00869,0.99671,1,0.00578,0.00128742,0.00128742,0.00128742
25,122.155,0.00988,1,1,0.00213,0.00127092,0.00127092,0.00127092
26,127.984,0.01436,0.99342,1,0.01525,0.00125442,0.00125442,0.00125442
27,132.425,0.01237,1,1,0.00212,0.00123791,0.00123791,0.00123791
28,136.472,0.00858,0.99671,1,0.00304,0.00122141,0.00122141,0.00122141
29,140.52,0.012,0.99671,1,0.00413,0.00120491,0.00120491,0.00120491
